Name	Region	City Count	Area	Population	Density	Density_Log2	Pop Bas Resid Reg	Hou Bas Resid Reg	Pop in	Pop out	Pop 0-4	Pop 5-14	Pop 15-19	Pop 20-29	Pop 30-44	Pop 45-49	Pop 50-54	Pop 55-59	Pop 60-64	Pop 65-	Municipal workers	New const hous stoc	Priv establishments	Employees priva busi	Total Retail Store	Ann Sales Store	Ann Sales Ret Store	Ann Ship ind prod	Agriculture output	Taxable income	Local tax rev	Exp Total	Ownership car	Educational facility	Books Station Retail	Libraries	Nursery	Community center	Hospital	Nat man Comp Index	Population index	Nat man Per capita	Day/Night pop ratio	Bas Resid Reg growth	Population density	Cens househ (to single)	Ind_1_agriculture	Ind_2_mine_cons_manu	Ind_3_busi_pub_serv	Ret shop ann grow	Income gap	Incr local tax rev	Exp Parliament	Exp General	Exp Livelihood	Exp Health	Exp Labor	Exp Agriculture	Exp Busi_Indust	Exp Construction	Exp Fire	Exp Education	Exp Disaster Recovering	Exp Bonds
Obihiro	0	19	569.8752632	18617.15789	32.66882965	5.029842867	99,1703	120,1348	705,1803	805,1788	182,1781	164,1788	115,1883	100,1347	252,1470	437,1757	476,1755	363.5,1796	33,1811	517,1683	395,1825	155,1520	131,1665	239,1543	108,1604	361,1815	490,1753	49,1561	1225,1898	608,1384	426,1208	570,1860	1192,1870	400,1861	235,1827	240,1870	28,1873	128,1827	209,1851	67.5,1689	101,1703	482,1853	378.5,1765.5	116.5,1851.5	17.5,981	666.5,1732.5	696,1882.5	6,465	66.5,1629.5	39,1494	608,1384.5	99.5,1790	323,1805	501,1855	445,1872	23,1879	289,1866	916,1873	538,1812	547,1870	345,1850	825,1877	472.5,1823	902,1838
Hiroshima	5	25	292.4928	87627.8	299.5895967	8.226843717	270,1798	29,1134	239,1862	259,1847	61,1875	100,1850	141,1731	76,1825	59,1856	26,1745	30,1400	54,1621	272,1884	55,1865	49,1781	59,1627	70,1879	133,1885	53,1862	291,1882	41,1803	114,1883	10,1647	277,1686	452,1809	25,1818	227,1412	270,1833	223,1808	240,1830	220,1840	128,1728	209,1843	435.5,1812	269,1798	111,1794.5	63.5,1880	49.5,1839.5	187,1801	298.5,1872	70,1601	110,1726	346,1870	328.5,1781	277,1690	30.5,1827.5	123.5,1661	53.5,1809	92,1834	154,1827	289,1850	135,1737	33,1505	332,1831	64,1730	35,1835	472.5,1887	106,1861
Tokushima	5	25	168.7768	32161.92	190.558892	7.574093119	70,1798	75,1134	42,1862	16,1847	12,1875	14,1850	30,1731	66,1825	15,1856	15,1745	9,1400	70,1621	430,1884	43,1865	42,1781	21.5,1627	186,1879	20,1885	509,1862	7,1882	74,1803	137,1883	490,1647	31,1686	8,1809	71,1818	275,1412	272,1833	36,1808	240,1830	98,1840	128,1728	209,1843	50.5,1812	71,1798	181,1794.5	147,1880	77.5,1839.5	117,1801	202,1872	491,1601	383.5,1726	13,1870	59,1781	31,1690	46.5,1827.5	263,1661	31,1809	60,1834	246,1827	289,1850	247,1737	5,1505	6,1831	39,1730	47,1835	472.5,1887	189,1861
Yokote	1	7	578.1071429	46122.57143	79.78204732	6.31799224	108,1511	1460,1839	22,274	19,155	224,594	278,665	116,1182	293,608	116,524	1001,1731	1564,1879	1336,1877	75,1337	1404,1623	943,1725	296,859	538,1574	73,1297	551,1585	41,1492	352,1478	154,1057	1294,1637	73,462	20,424	850,1820	590,959	158,1221	36,1372	240,1614	454,1832	912,1733	209,1137	105,1623.5	107,1510	308.5,1344.5	84,1524.5	399,804	105,738	61.5,699	1263,1542.5	945,1726	87,796.5	321.5,1108	72.5,462	99.5,1146	510,1813	1001,1865	861,1630	564,1765	629,1694	1097,1694	914,1779	433,1416	878,1808	843,1871	472.5,1877	710,1808
Yokosuka	7	3	50.00666667	169739	3394.327423	11.72891002	987,1871	487,765	825,1471	663,991	279,1032	363,1077	173,1019	338,1211	896,1554	526,1399	132,791	156,1640	1484,1788	791,1117	133,1129	1352,1573	39,627	24,466	179,672	363,1396	341,1090	12,1230	174,1336	1519,1870	1206,1634	95,544	165,256	175,470	97,893	613,1497	64,149	368,448	496,633	710.5,1838	986,1871	41.5,389.5	9,592.5	913.5,1715	1501,1685	469.5,1040.5	227.5,1160.5	202.5,465	1351,1846.5	310.5,1657	1523.5,1874	426.5,1477	238,1195	440,1345	23,505	845,1187	756,1529	221,904	246,1119	268,670	465,865	95,418	472.5,1232	38,458
Yokohama	7	17	22.96235294	185465.9412	8076.957168	12.97959617	1419,1839	27,787	1437,1867	1318,1841	681,1696	90,1548	43,758	1032,1858	1533,1890	257,1875	69,598	37,718	120,1664	62,691	413,1121	925,1884	4,1852	46,1888	2,1791	375,1874	317,1813	38,1682	130,418	1683,1862	1454,1729	99,763	49,396	37,1589	204,1669	482,1395	73,523	128,772	427,862	1361,1787	1419,1839	12,1349	22,1882	1263.5,1814	1665,1883	390,1833	70,227.5	55,1484.5	1092.5,1862	19,1693	1686.5,1857.5	544.5,1418.5	1,554	13,450	217,1108	271,422	1019,1656	91,257	623,1672	1069,1524	162,649	139,478	472.5,472.5	114,816
Kesennuma	1	5	277.492	33218.6	119.7101178	6.903401282	303,1394	1400,1842	111,429	44,535	196,534	87,1125	479,1466	138,303	110,744	1061,1750	860,1709	1083,1548	282,1504	1302,1789	552,1303	145,480	795,1712	469,1483	1507,1769	173,1625	268,1422	635,1098	519,1800	83,490	117,570	552,1504	492,799	1015,1688	673,1696	240,1458	647,1572	1175,1711	209,1225	295.5,1368.5	301.5,1394	611,1350.5	629,1584.5	399,605.5	148,893	238,1180	1101.5,1685	945,1542	35.5,1030.5	368.5,1302	83,488.5	696,1277	948,1638	777,1608	224,1424	238,1307	731,1838	1007,1739	723,1310	95,1013	631,1723	744,1403	472.5,1692	662,1493
Hamada/Masida	5	7	408.5971429	24346.42857	59.58541071	5.89688723	172,1279	264,699	337,1118	119,1537	134,1025	113,879	57,802	105,391	53,615	18,662	595,1297	859,1533	1203,1604	1383,1835	415,1643	72,1092	1349,1743	791,1575	1418,1826	344,1498	517,1536	178,1197	644,1479	333,846	279,1079	1083,1781	559,858	1567,1867	1630,1868	1261,1866	1691,1864	1483,1801	913,1854	338.5,1463	172.5,1280	1358,1836	938.5,1763	102.5,804	169,581.5	1040.5,1626.5	696,1656.5	383.5,1275.5	455,1307	120.5,900	334,846.5	359.5,1805.5	873,1657	811,1844	1495,1825	755,1773	289,1592	957,1711	338,1363	255,1583	998,1813	490,1703	472.5,1880	1287,1854
Hamamatsu	3	7	175.6278571	94111.57143	535.8578813	9.065706614	769,1787	547,1829	409,1651	462,1693	78,1808	121,1606	647,1488	455,1742	100,1646	788,1666	379,1719	185,1178	300,1156	210,1725	1363,1855	712,1858	563,1190	961,1812	154,1492	226,1823	183,1746	1154,1888	774,1441	1257,1723	1213,1863	258,1300	1197,1787	745,1303	350,839	835,1396	194,950	128,1193	445,1188	677,1802	769,1787	455.5,1755	878.5,1813	306,1828	290,1728	148,1223.5	696,1214.5	1641.5,1892	48.5,796.5	2,1776	1256.5,1727.5	254,1706.5	73,747	188,1443	28,426	439,1718	746,1890	370,1162	342,1603	100,1501	283,1155	515,1722	472.5,1419	36,873
Soobu/Keisei Line	7	5	31.018	383626.4	12367.86382	13.59430872	1685,1894	66,372	1447,1844	1337,1810	836,1792	158,1806	70,367	1515,1881	1728,1891	1323,1707	60,367	36,357	90,829	1,586	610,1465	1507,1872	63,1786	315,1835	85,1045	1280,1863	688,1597	405,991	4.5,58	1687,1880	168,1805	395,1081	9,67	13,198	230,1394	820,1012	178,694	128,433	471,853	1582,1876	1685,1894	50.5,922.5	147,1825	1502,1881	1822,1894	1649.5,1803.5	70,70	110,774	1593,1846.5	462.5,1760	1691.5,1884	1241.5,1724.5	100,333	543,1206	728,1822	251,1367	289,1506	6.5,49	253,852	118,1765	3,750	982,1615	472.5,472.5	1,271
Kansai/Kintetsu Nara Line	9	3	42.97	276007.6667	6423.264293	12.64909094	1382,1883	371,763	702,915	586,1003	1087,1334	1304,1533	750,1551	1135,1533	1460,1626	857,1164	56,243	214,515	1273,1395	422,603	333,759	727,1765	317,1493	789,1675	423,729	969,1796	277,1057	1336,1646	97,371	1304,1439	1099,1444	281,628	129,154	501,628	927,1193	673,1065	341,750	409,630	709,842	1286.5,1879	1381.5,1883	461.5,523.5	581.5,1617.5	986,1263.5	1621,1797	1059.5,1615	70,227.5	1344,1484.5	1150.5,1256.5	368.5,817.5	1305.5,1438	306.5,626.5	218,740	148,676	906,1677	951,1017	980,1134	72,254	31,261	580,857	89,318	117,235	472.5,472.5	197,404
Kanmon	6	28	82.16357143	64537.64286	785.4775752	9.617426278	147,1825	69,1086	498,1852	411,1876	388,1694	276,1758	239,1679	653,1748	263,1440	54,1448	82,1536	557,1879	259,1837	407,1558	1,684	208,1777	20,1798	3,1852	266,1694	18,1839	14,1771	15,1891	163,1416	39,1178	10,1807	12,1703	290,1877	14,1579	36,1623	240,1763	71,1878	128,1562	209,1803	80.5,1824	150.5,1825	79,1816	89,1852	264.5,1556.5	543,1701	328.5,1830.5	70,1263	383.5,1591.5	657,1764.5	28.5,1737	39,1178	45,1880	192,1835	275,1811	130,1841	99,1498	289,1896	175,1668	3,1850	43,1887	58,1340	4,1282	472.5,1748	28,1757
Shizuoka	3	9	291.25	132850	456.1373391	8.833324463	418,1808	646,1790	183,1546	244,1474	51,1716	143,1656	332,1539	227,1653	89,1629	281,1446	363,1510	386,1003	425,1459	309,1840	1016,1851	410,1851	912,1670	1069,1766	505,1865	306,1825	492,1682	459,1855	522,1520	822,1612	1259,1762	287,1536	309,1600	306,1537	152,1712	240,1277	102,1664	128,715	209,970	276.5,1800	416.5,1808	350.5,1532	501.5,1781.5	116.5,1814	136.5,1607	345.5,1540	373.5,1430	609.5,1882.5	108,1544.5	57,1727	821,1619	426.5,1861	163,1473	305,1655	14,1032	919,1681	685,1891	529,1532	250,1583	173,1670	110,1734	31,1176	472.5,1581	350,1562
